Player Tag,2024-08-26,2024-08-18,2024-08-11,2024-08-05,2024-07-28,2024-07-21,2024-07-14,2024-07-07,2024-06-30,2024-06-24,2024-06-17,2024-06-10,2024-06-03,2024-05-26,2024-05-19,2024-05-12,2024-05-05,2024-04-28,2024-04-21,2024-04-14,2024-04-07,2024-03-31,2024-03-24,2024-03-17,2024-03-10,2024-03-03,2024-02-18,2024-02-11,2024-02-04,2024-01-28,2024-01-21,2024-01-14,2024-01-07,2023-12-31
SoupJr,66,125,0,102,0,0,143,210,1772,546,632,1124,697,4376,1467,778,2370,276,841,1001,840,1570,1010,438,879,508,150,147,611,350,526,746,502,504
springerpup,2869,2296,2300,1362,0,2083,2765,2808,1881,2613,3261,2794,2164,1811,1985,3000,3391,3948,2217,3473,2293,2181,3307,2695,3323,2437,2860,2315,2493,3057,3052,2933,2586,2201
spudly,3082,1845,1719,1207,46,1319,1173,0,8,228,2166,8,1506,0,490,1217,1163,730,10,0,16,1626,1384,1364,13,1777,1316,829,2294,1791,523,999,2028,1090
Stormy,0,0,0,0,0,0,0,292,235,794,482,1538,1204,0,1219,1297,2445,1410,2028,1078,1293,1192,496,747,1613,1842,1221,1309,1649,2662,1292,161,1028,3194
Stranger,4667,1104,72,10,631,2475,177,67,7,12,18,814,2106,1032,2095,1589,3140,1155,4445,17,808,1218,2904,3132,4416,17,2637,0,780,876,2545,1499,2193,916
Suriel,3085,1732,3740,2899,2242,4209,2096,2797,14,9,2856,2884,3016,1707,2069,1478,2317,1290,,,,,,,,,,,,,,,,
tedbilly,2113,2906,716,1777,2629,4432,4802,3659,2975,4119,4131,4013,3598,3816,1522,6499,3160,3106,4057,4854,2308,4551,2194,2173,3078,4675,3460,2430,1875,1831,4727,3594,2553,2858
Tina,667,578,671,19,686,642,276,245,344,7,28,812,11,556,488,774,668,884,978,898,854,1008,717,437,486,552,868,568,391,486,918,940,862,711
Trick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,177,100,736,162,424,373,0,0,0
trrr,27,132,369,45,167,228,431,583,308,11,858,673,665,831,428,378,338,,,,,,,,,,,,,,,,,
val,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vfo,1200,1310,1138,1246,734,29,1355,725,876,1184,1399,165,169,0,1493,1343,1195,1765,1314,1202,1187,786,813,1259,535,881,0,0,0,471,693,912,952,871
weeminx,4327,1530,4504,0,1196,338,7356,3391,4006,3071,3398,2637,3976,0,587,8726,,,,,,,,,,,,,,,,,,
zmewis,2411,3431,6335,3699,1680,2637,961,2847,5490,0,2979,2593,4228,1528,1770,2952,1111,7244,2181,4183,6070,1692,6689,7936,8970,2822,4732,5584,3405,8229,3315,5264,3436,2884
